,artist,album,track_name,track_id,release_date,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
104,One Direction,Take Me Home: Yearbook Edition,Live While We're Young,6aGjEZ7kq3YXgD0EDt80O5,2012-11-09,0.658,0.837,2,-2.063,1,0.0543,0.0,0.0969,0.936,126.015,200187,4
105,One Direction,Take Me Home: Yearbook Edition,Little Things,7kSLdGdXLey7pzLsWpdg1h,2012-11-09,0.707,0.222,7,-11.716,1,0.0329,0.0,0.205,0.556,110.095,219640,4
106,One Direction,Up All Night,What Makes You Beautiful,03oZejWqXLbKhhM4iTgShq,2012-05-25,0.726,0.778,4,-2.483,1,0.0784,0.0,0.082,0.868,125.0,198840,4
107,One Direction,Up All Night,One Thing,6tKW2g2So84pCTZXE0Furx,2012-05-25,0.711,0.721,2,-3.79,1,0.0282,0.0,0.0525,0.675,126.988,197187,4
108,One Direction,Up All Night,Up All Night,0UiPtG3O5NxIHDp8uy9jgM,2012-05-25,0.6,0.932,0,-2.16,1,0.0576,0.0,0.527,0.569,139.048,192533,4
109,One Direction,Made In The A.M. (Deluxe Edition),Walking in the Wind,1ZycJRpLOazlLcoFGxGROO,2015-11-13,0.687,0.447,8,-6.586,1,0.0486,0.0,0.0878,0.501,114.578,202640,4
110,Ariana Grande,Yours Truly,Honeymoon Avenue,2ofOe2OaXFpZF5ETbsc7Qu,2013-01-01,0.692,0.608,8,-5.233,0,0.041,0.0,0.348,0.449,125.012,339733,4
111,Ariana Grande,Yours Truly,Baby I,6EIsMa5lbvljYxqCkjZVDi,2013-01-01,0.725,0.796,1,-3.684,1,0.0326,0.0,0.354,0.517,101.976,197600,4
112,Ariana Grande,Yours Truly,Right There,3yiopxxeHuwcpAg4e57Zjt,2013-01-01,0.621,0.834,7,-3.166,1,0.105,0.0,0.0854,0.561,156.095,247080,4
113,Ariana Grande,Yours Truly,Tattooed Heart,5yxghrFKJbU7pcaUFEv1Sg,2013-01-01,0.536,0.521,7,-4.128,1,0.0274,0.0,0.142,0.314,72.06,194707,4
114,Ariana Grande,My Everything (Deluxe),Bang Bang,466s1BacUmiRdR3ISvNjyx,2014-08-22,0.703,0.747,0,-4.446,0,0.0895,0.0,0.396,0.7,149.974,199320,4
115,Ariana Grande,My Everything (Deluxe),Break Free,12KUFSHFgT0XCoiSlvdQi4,2014-08-22,0.687,0.702,7,-5.324,0,0.0455,4.35e-05,0.204,0.284,129.956,214840,4
116,Ariana Grande,My Everything (Deluxe),Best Mistake,70yhaHLp9STtzI2Kzba6Tr,2014-08-22,0.654,0.578,6,-6.897,1,0.449,0.0,0.112,0.233,143.867,233733,4
117,Ariana Grande,My Everything (Deluxe),Problem,7vS3Y0IKjde7Xg85LWIEdP,2014-08-22,0.66,0.805,1,-5.352,0,0.153,8.83e-06,0.159,0.625,103.008,193920,4
118,Ariana Grande,My Everything (Deluxe),One Last Time,7xoUc6faLbCqZO6fQEYprd,2014-08-22,0.628,0.593,8,-5.036,1,0.0323,1.65e-06,0.096,0.104,125.026,197267,4
119,Ed Sheeran,x (Wembley Edition),Photograph,6fxVffaTuwjgEk5h9QyRjy,2013,0.614,0.379,4,-10.48,1,0.0476,0.000464,0.0986,0.201,107.989,258987,4
120,Justin Bieber,My World 2.0,That Should Be Me,0aPZbnkMoWJaJ5CNVLCj8S,2010-01-01,0.552,0.603,8,-5.71,1,0.0334,0.0,0.151,0.231,139.908,232720,4
